flight_id,flight_number,airline,aircraft_model,origin_airport_id,origin_airport_code_x,origin_city_x,origin_country_x,destination_airport_id,destination_airport_code_x,destination_city_x,destination_country_x,distance_km,estimated_flight_time_hours,ticket_cost_usd,fuel_used_liters,reliability_score,departure_datetime,arrival_datetime,departure_hour,arrival_hour,day,month,year,flight_status,weather_condition,passenger_capacity,occupied_seats,cargo_weight_kg,delay_minutes,gate_number,terminal,origin_airport_code_y,origin_airport_name,origin_city_y,origin_country_y,origin_airport_type,origin_latitude,origin_longitude,origin_elevation_meters,origin_runways,origin_timezone,destination_airport_code_y,destination_airport_name,destination_city_y,destination_country_y,destination_airport_type,destination_latitude,destination_longitude,destination_elevation_meters,destination_runways,destination_timezone
200,LA5848,Delta Airlines,Boeing 787,890,AP0890,East Jenniferchester,Netherlands,1932,AP1932,West Cindy,Spain,8022.82,10.96,1295.6,33723.08,0.99,2025-10-17 20:59:12,2025-10-18 07:56:48,20,7,17,10,2025,On Time,Rainy,342,231,1334.32,188,G55,T4,AP0890,Page-Barnes Airport,East Jenniferchester,Netherlands,Regional,-10.768332,-133.30327,4066,5,UTC+8,AP1932,Cain PLC Airport,West Cindy,Spain,International,59.751387,-114.29965,707,2,UTC+0
201,IB4336,Emirates,Boeing 777,794,AP0794,North Davidburgh,UAE,934,AP0934,West Lindamouth,China,10481.47,11.75,1859.4,36426.33,0.98,2025-03-02 17:11:25,2025-03-03 04:56:25,17,4,2,3,2025,Cancelled,Sunny,226,130,26921.18,112,G54,T2,AP0794,Green-Deleon Airport,North Davidburgh,UAE,National,61.356098,178.910317,491,1,UTC+0,AP0934,"Chan, Spencer and Sims Airport",West Lindamouth,China,International,17.840872,40.136672,4181,4,UTC+9
202,SK1543,Qatar Airways,Airbus A350,747,AP0747,East Maria,Peru,1336,AP1336,Sotoview,Australia,1084.23,1.26,140.01,3685.88,0.95,2024-06-24 13:11:38,2024-06-24 14:27:14,13,14,24,6,2024,On Time,Rainy,325,144,28957.13,79,G63,T2,AP0747,Perez-Irwin Airport,East Maria,Peru,International,29.262883,-43.405919,825,3,UTC+0,AP1336,Bryant LLC Airport,Sotoview,Australia,Regional,38.892034,-45.264207,4250,4,UTC-4
203,UA6814,Air Canada,Boeing 787,2670,AP2670,South Cassandra,Chile,47,AP0047,Debraport,Argentina,6492.48,8.48,898.07,20806.03,0.88,2025-08-13 06:45:47,2025-08-13 15:14:35,6,15,13,8,2025,On Time,Rainy,121,104,24955.45,171,G24,T4,AP2670,"Lopez, Miller and Gordon Airport",South Cassandra,Chile,International,-13.705774,-142.940167,174,5,UTC+0,AP0047,Phillips and Sons Airport,Debraport,Argentina,Regional,-21.849948,155.973376,563,2,UTC+0
204,IB6447,Lufthansa,Boeing 777,703,AP0703,Erinmouth,Qatar,727,AP0727,Thomasview,United States,12569.97,15.42,2333.67,68639.54,0.87,2025-05-27 12:34:38,2025-05-28 03:59:50,12,3,27,5,2025,On Time,Cloudy,211,79,28735.39,159,G57,T4,AP0703,Parker-Galvan Airport,Erinmouth,Qatar,International,56.349709,-127.128564,1362,3,UTC-4,AP0727,"Cervantes, Richardson and Patterson Airport",Thomasview,United States,Regional,8.818481,71.441904,1388,6,UTC-5
205,SK4907,British Airways,Airbus A330,360,AP0360,Moonton,Japan,1307,AP1307,Fullerton,Netherlands,9320.28,11.11,1097.11,35659.33,0.96,2026-01-01 03:56:38,2026-01-01 15:03:14,3,15,1,1,2026,On Time,Cloudy,100,146,11486.56,9,G53,T1,AP0360,"Parker, Bailey and Frank Airport",Moonton,Japan,Regional,-45.116196,-18.076743,3039,1,UTC+3,AP1307,Gonzales and Sons Airport,Fullerton,Netherlands,International,-44.308163,-158.1527,273,4,UTC+0
206,AA2157,Iberia,ATR 72,1771,AP1771,West Steven,Qatar,1899,AP1899,Harrismouth,UAE,8409.93,10.13,1725.35,28677.22,0.89,2024-08-01 02:38:39,2024-08-01 12:46:27,2,12,1,8,2024,Delayed,Cloudy,227,67,9909.92,107,G49,T2,AP1771,"Clayton, Davis and Holmes Airport",West Steven,Qatar,International,-44.247713,-171.272501,788,2,UTC-5,AP1899,Mccormick-Brown Airport,Harrismouth,UAE,National,15.476298,-120.259558,2377,5,UTC+8
207,DL5937,JetSMART,ATR 72,1458,AP1458,West Robertburgh,United Kingdom,2493,AP2493,Lake Emilyport,Germany,11962.64,16.43,1921.72,35319.07,0.83,2024-10-19 23:58:39,2024-10-20 16:24:27,23,16,19,10,2024,Delayed,Foggy,158,48,29127.0,168,G36,T3,AP1458,"Gonzalez, Maddox and Aguirre Airport",West Robertburgh,United Kingdom,Regional,-6.024017,174.380235,1304,1,UTC+3,AP2493,Roberts-Dennis Airport,Lake Emilyport,Germany,International,35.346216,-78.308906,2725,6,UTC+0
208,IB8178,Air France,Boeing 737,1265,AP1265,Lake Veronica,France,1552,AP1552,New Sara,Turkey,7957.13,9.21,783.08,39428.22,0.93,2024-08-30 08:50:18,2024-08-30 18:02:54,8,18,30,8,2024,Cancelled,Cloudy,307,167,1073.12,171,G55,T2,AP1265,"Lopez, Pena and Miller Airport",Lake Veronica,France,Regional,14.919103,-110.726376,4438,5,UTC+9,AP1552,"Thomas, Mendez and Smith Airport",New Sara,Turkey,National,35.259949,-32.996562,2415,3,UTC-5
209,SK8336,JetSMART,Boeing 737,2736,AP2736,Lake Todd,China,2629,AP2629,Johnathanview,China,14328.96,18.42,2552.91,45509.38,0.91,2026-04-28 22:56:05,2026-04-29 17:21:17,22,17,28,4,2026,Cancelled,Foggy,211,340,24239.75,137,G3,T4,AP2736,Ramos-Jackson Airport,Lake Todd,China,National,-7.382601,43.034097,3740,5,UTC-5,AP2629,King-Guzman Airport,Johnathanview,China,National,53.284182,-164.76509,3303,2,UTC+8
210,LA1750,American Airlines,Boeing 787,2478,AP2478,Davisside,Canada,2725,AP2725,West Justinport,Turkey,11435.7,14.24,1441.47,37497.79,0.94,2025-10-13 15:00:28,2025-10-14 05:14:52,15,5,13,10,2025,On Time,Cloudy,259,199,6686.13,191,G36,T1,AP2478,"George, Thompson and Jackson Airport",Davisside,Canada,International,5.814995,179.207468,3246,5,UTC-4,AP2725,Goodwin-Sanders Airport,West Justinport,Turkey,National,66.876167,35.360239,2054,5,UTC+0
211,UA934,Emirates,Boeing 777,2819,AP2819,Schroederton,UAE,2094,AP2094,Lake Dianaland,Colombia,6302.81,7.12,643.82,19283.22,0.96,2025-03-04 05:07:22,2025-03-04 12:14:34,5,12,4,3,2025,On Time,Cloudy,324,112,3913.92,186,G65,T4,AP2819,West-Dudley Airport,Schroederton,UAE,National,-8.052883,-173.838636,1586,6,UTC+9,AP2094,Thompson-Fernandez Airport,Lake Dianaland,Colombia,International,-2.595106,-117.130507,4248,2,UTC+8
212,IB3403,United Airlines,Airbus A330,294,AP0294,New Jason,Canada,1391,AP1391,South Taylorton,UAE,15206.09,21.33,1380.5,83061.18,0.8,2024-09-04 03:29:30,2024-09-05 00:49:18,3,0,4,9,2024,Cancelled,Foggy,95,81,3594.5,70,G5,T1,AP0294,Adams LLC Airport,New Jason,Canada,National,-52.102963,160.283809,4140,4,UTC-4,AP1391,Macdonald-Paul Airport,South Taylorton,UAE,National,67.676987,70.673532,1088,3,UTC-4
213,AA1852,British Airways,Boeing 737,1516,AP1516,Christopherberg,Mexico,2943,AP2943,Bowersview,Chile,4510.18,5.99,850.99,15305.03,0.97,2024-06-16 21:21:08,2024-06-17 03:20:32,21,3,16,6,2024,Cancelled,Storm,282,63,23639.55,26,G50,T2,AP1516,Thompson-Horton Airport,Christopherberg,Mexico,International,68.671156,56.260672,3599,2,UTC-4,AP2943,"Ball, Ruiz and Hanson Airport",Bowersview,Chile,National,50.971308,137.194767,96,1,UTC+9
214,LA8412,KLM,Boeing 737,221,AP0221,Port Victoria,China,1719,AP1719,Youngborough,United Kingdom,6474.59,7.24,1123.71,35371.23,0.84,2025-04-03 15:27:25,2025-04-03 22:41:49,15,22,3,4,2025,Cancelled,Rainy,308,308,10531.05,93,G2,T1,AP0221,"Clark, Cabrera and Lowery Airport",Port Victoria,China,National,-45.408625,131.130012,739,5,UTC+3,AP1719,"Anderson, Norris and Young Airport",Youngborough,United Kingdom,National,-9.463834,-175.118021,2888,3,UTC+8
215,SK2813,United Airlines,Airbus A320,1123,AP1123,Williamsberg,Spain,2672,AP2672,New Nataliechester,Brazil,14495.53,20.16,1598.34,45198.5,0.86,2026-04-05 12:49:56,2026-04-06 08:59:32,12,8,5,4,2026,Delayed,Cloudy,340,267,16155.0,0,G61,T2,AP1123,Cunningham Group Airport,Williamsberg,Spain,Regional,47.967369,1.670232,2456,4,UTC+8,AP2672,Pierce-Gonzalez Airport,New Nataliechester,Brazil,International,-18.196043,-129.134801,3521,4,UTC+3
216,UA1934,Avianca,Boeing 737,177,AP0177,North Wendyberg,China,339,AP0339,Dawnside,Qatar,17548.43,19.52,2959.65,68508.12,0.93,2025-12-02 02:51:02,2025-12-02 22:22:14,2,22,2,12,2025,Delayed,Sunny,332,96,23596.72,120,G20,T2,AP0177,"Woods, Bowers and Rivera Airport",North Wendyberg,China,Regional,57.712027,52.137652,496,4,UTC+0,AP0339,"Mccall, Cooper and Webb Airport",Dawnside,Qatar,National,-40.469997,-106.055465,4004,1,UTC+3
217,UA4217,British Airways,Airbus A330,1868,AP1868,North Timothychester,United Kingdom,2350,AP2350,Brittanymouth,Colombia,10042.05,13.37,1562.03,45495.89,0.96,2024-10-23 01:23:17,2024-10-23 14:45:29,1,14,23,10,2024,On Time,Foggy,171,288,10826.59,58,G6,T4,AP1868,Green-Evans Airport,North Timothychester,United Kingdom,National,20.132349,67.399895,237,3,UTC+0,AP2350,Cole-Macdonald Airport,Brittanymouth,Colombia,National,65.173302,-148.879599,2074,2,UTC+0
218,AA4798,Air Canada,Airbus A320,1819,AP1819,Port Anthony,Qatar,1197,AP1197,East Kathleen,Netherlands,9377.58,11.62,1816.29,39188.67,0.78,2024-07-16 14:31:16,2024-07-17 02:08:28,14,2,16,7,2024,Cancelled,Foggy,257,220,14500.14,128,G5,T1,AP1819,Butler Group Airport,Port Anthony,Qatar,National,-40.85218,-152.117919,1671,3,UTC+3,AP1197,"Griffin, Cooper and Schroeder Airport",East Kathleen,Netherlands,International,41.080847,-174.14327,3791,2,UTC+9
219,AA3594,Copa Airlines,Boeing 787,2646,AP2646,West Evan,Argentina,310,AP0310,Williamsfort,UAE,7271.12,9.79,887.48,32385.54,0.91,2025-08-30 02:25:36,2025-08-30 12:13:00,2,12,30,8,2025,On Time,Sunny,270,339,2103.49,98,G78,T4,AP2646,"Liu, Moss and Lucas Airport",West Evan,Argentina,National,-9.011894,105.149713,1097,1,UTC-5,AP0310,Robinson and Sons Airport,Williamsfort,UAE,National,54.102214,84.901418,510,6,UTC-4
220,UA426,Copa Airlines,Airbus A330,1527,AP1527,Margarettown,Qatar,647,AP0647,Stewartside,Turkey,7198.43,8.56,970.03,25606.51,0.86,2024-11-15 15:24:16,2024-11-15 23:57:52,15,23,15,11,2024,Cancelled,Rainy,103,263,18972.57,30,G32,T3,AP1527,Jackson-Barton Airport,Margarettown,Qatar,Regional,-32.351469,177.318601,1218,2,UTC-5,AP0647,Diaz and Sons Airport,Stewartside,Turkey,National,-25.300566,102.350582,2356,6,UTC+8
221,DL999,United Airlines,Boeing 777,367,AP0367,Hannahview,China,149,AP0149,East Nicholas,Qatar,13176.12,15.01,1328.67,62529.96,0.96,2025-04-26 07:16:53,2025-04-26 22:17:29,7,22,26,4,2025,Delayed,Cloudy,268,77,1127.94,237,G2,T2,AP0367,Tran-Campbell Airport,Hannahview,China,National,-3.258729,22.508902,1812,6,UTC-4,AP0149,Acosta-Owens Airport,East Nicholas,Qatar,National,-53.08155,-128.10405,1264,1,UTC+1
222,IB8663,KLM,Boeing 787,2924,AP2924,Port David,Qatar,2775,AP2775,Millermouth,France,12977.65,17.3,2575.44,46614.89,0.99,2025-12-18 03:09:20,2025-12-18 20:27:20,3,20,18,12,2025,Delayed,Cloudy,127,315,26105.37,147,G18,T3,AP2924,"Trevino, Patterson and Rowe Airport",Port David,Qatar,National,11.676113,6.14502,3180,1,UTC-5,AP2775,"Rangel, Huynh and Jordan Airport",Millermouth,France,Regional,-38.284277,121.081918,1034,2,UTC+3
223,LA5038,United Airlines,Boeing 777,2228,AP2228,West Jeanette,Brazil,2985,AP2985,Camposmouth,Turkey,12407.45,14.81,1370.73,62854.14,0.87,2024-10-06 03:42:17,2024-10-06 18:30:53,3,18,6,10,2024,Cancelled,Sunny,77,201,25886.4,11,G19,T1,AP2228,"Pierce, Kelly and Kelly Airport",West Jeanette,Brazil,National,69.89256,137.497496,3015,6,UTC-5,AP2985,Hoffman LLC Airport,Camposmouth,Turkey,International,-19.95864,39.078602,3299,2,UTC+1
224,IB9112,Copa Airlines,Embraer E190,879,AP0879,West Jamesfort,Peru,1879,AP1879,West John,Chile,1552.82,1.96,308.33,8128.66,0.84,2025-08-21 21:58:46,2025-08-21 23:56:22,21,23,21,8,2025,Delayed,Cloudy,188,208,7747.5,140,G12,T1,AP0879,"Matthews, Joseph and Ellison Airport",West Jamesfort,Peru,Regional,55.337865,-94.363793,3897,4,UTC+1,AP1879,"Gray, Mendez and Martinez Airport",West John,Chile,Regional,41.551454,-90.968854,2231,6,UTC-5
225,DL8270,Avianca,Embraer E190,2225,AP2225,West Erikhaven,Australia,1986,AP1986,West Ryanmouth,Colombia,9319.36,13.31,1780.19,32408.59,0.95,2025-11-12 12:28:45,2025-11-13 01:47:21,12,1,12,11,2025,On Time,Storm,328,339,23829.9,219,G16,T3,AP2225,"Pierce, Graves and Paul Airport",West Erikhaven,Australia,National,30.701248,-40.763831,1946,6,UTC+1,AP1986,Jones-Green Airport,West Ryanmouth,Colombia,International,-52.660131,-30.843058,1063,3,UTC+0
226,LA2341,Air Canada,Boeing 737,560,AP0560,Lake Tyler,UAE,112,AP0112,West Charleschester,Turkey,6961.21,8.49,1228.78,22556.73,0.83,2025-10-20 11:35:54,2025-10-20 20:05:18,11,20,20,10,2025,Delayed,Storm,238,90,4885.61,151,G48,T4,AP0560,Morris Ltd Airport,Lake Tyler,UAE,Regional,-43.839144,-20.982025,3335,6,UTC+1,AP0112,Dalton-Swanson Airport,West Charleschester,Turkey,Regional,-31.85627,-102.10153,3966,3,UTC+8
227,IB847,Singapore Airlines,Airbus A330,1773,AP1773,South Stevetown,Brazil,2846,AP2846,East Scott,Japan,4395.83,5.3,483.3,12288.05,0.84,2024-11-22 17:28:36,2024-11-22 22:46:36,17,22,22,11,2024,On Time,Cloudy,266,49,5451.74,201,G38,T4,AP1773,Frank-Harris Airport,South Stevetown,Brazil,Regional,36.247139,147.95586,4326,4,UTC-4,AP2846,Wong Ltd Airport,East Scott,Japan,International,69.969842,109.315233,1641,5,UTC+1
228,UA7678,Aeromexico,Boeing 787,1926,AP1926,Port Lisamouth,Turkey,1695,AP1695,Gouldshire,Chile,8551.68,9.57,1526.06,40316.36,0.99,2026-04-06 23:44:13,2026-04-07 09:18:25,23,9,6,4,2026,On Time,Rainy,103,266,3950.62,117,G27,T1,AP1926,West-Hansen Airport,Port Lisamouth,Turkey,National,67.925429,-110.094344,136,3,UTC+9,AP1695,Bradshaw Group Airport,Gouldshire,Chile,Regional,25.891784,128.110851,639,1,UTC+1
229,IB7975,Air Canada,Airbus A350,1620,AP1620,Lindseyfort,Australia,204,AP0204,East Kevin,United Kingdom,5780.55,6.98,1071.2,22495.22,0.84,2026-04-01 20:16:27,2026-04-02 03:15:15,20,3,1,4,2026,Delayed,Sunny,180,90,15113.6,78,G30,T1,AP1620,Swanson and Sons Airport,Lindseyfort,Australia,National,-46.941059,-56.727524,3983,2,UTC+8,AP0204,"Mckee, Miller and Schroeder Airport",East Kevin,United Kingdom,Regional,0.255523,-81.659936,4197,1,UTC+0
230,DL8345,Qatar Airways,Airbus A330,1327,AP1327,East Melindaville,Chile,539,AP0539,Thomasville,China,4389.48,4.89,833.79,13419.24,0.86,2024-07-05 11:20:08,2024-07-05 16:13:32,11,16,5,7,2024,Cancelled,Cloudy,266,65,5697.93,44,G43,T3,AP1327,"Phillips, Cox and Phillips Airport",East Melindaville,Chile,National,34.854584,-57.665703,2014,2,UTC-4,AP0539,Ross-Morrow Airport,Thomasville,China,International,-1.549255,-73.962198,3934,2,UTC-5
231,AA7487,JetSMART,Embraer E190,1878,AP1878,West Staceyfurt,Qatar,1449,AP1449,Kristychester,France,16119.45,17.97,2118.76,76651.57,0.91,2025-03-31 07:45:30,2025-04-01 01:43:42,7,1,31,3,2025,On Time,Storm,283,259,8269.48,2,G58,T4,AP1878,"Peterson, Gibson and Lane Airport",West Staceyfurt,Qatar,National,43.917933,-164.77734,2319,3,UTC-5,AP1449,"Braun, White and Barnett Airport",Kristychester,France,International,-12.470268,33.192175,1541,6,UTC-5
232,IB3483,Qatar Airways,Airbus A350,1492,AP1492,Amychester,Canada,2928,AP2928,Lanetown,Colombia,3799.56,4.35,384.79,11857.0,0.86,2024-06-20 10:09:51,2024-06-20 14:30:51,10,14,20,6,2024,Cancelled,Foggy,275,283,13109.5,35,G46,T2,AP1492,"Thompson, Clark and Smith Airport",Amychester,Canada,Regional,47.667906,-3.737304,4333,3,UTC+8,AP2928,Whitehead-Davis Airport,Lanetown,Colombia,National,51.592724,49.893859,3481,1,UTC-4
233,UA953,Avianca,Airbus A320,1031,AP1031,Stanleyport,Chile,1071,AP1071,Juanfort,France,11584.28,15.34,1677.29,59999.03,0.85,2024-12-08 08:07:29,2024-12-08 23:27:53,8,23,8,12,2024,Delayed,Foggy,337,241,18148.33,59,G23,T1,AP1031,Ali-Fowler Airport,Stanleyport,Chile,National,-10.911041,-83.751173,3464,3,UTC-5,AP1071,Moreno Ltd Airport,Juanfort,France,Regional,39.078563,15.736441,2590,6,UTC+9
234,LA5782,LATAM Airlines,Boeing 787,585,AP0585,East Erin,Japan,1541,AP1541,Port Robert,China,7191.19,8.2,828.36,25196.68,0.84,2025-03-02 14:04:18,2025-03-02 22:16:18,14,22,2,3,2025,Delayed,Cloudy,284,82,28752.8,83,G77,T4,AP0585,Bush-Palmer Airport,East Erin,Japan,National,68.39895,141.424244,3748,2,UTC+0,AP1541,Rowland-Frost Airport,Port Robert,China,National,23.73308,-137.725583,3572,1,UTC+1
235,IB5370,Avianca,Airbus A330,480,AP0480,North Ricky,Netherlands,1601,AP1601,Perryton,Canada,7740.94,9.57,961.21,41449.9,0.94,2024-10-12 15:40:03,2024-10-13 01:14:15,15,1,12,10,2024,On Time,Storm,326,277,15494.53,86,G45,T3,AP0480,Stuart-Burns Airport,North Ricky,Netherlands,Regional,-45.366246,-16.1288,2950,1,UTC+1,AP1601,"Sloan, Rodriguez and Lawson Airport",Perryton,Canada,National,7.52701,-66.789921,3200,6,UTC+0
236,LA4052,Turkish Airlines,Embraer E190,1978,AP1978,Veronicatown,China,1671,AP1671,South Danielstad,Colombia,11835.14,15.99,1997.3,45080.08,0.77,2026-04-24 03:42:15,2026-04-24 19:41:39,3,19,24,4,2026,On Time,Cloudy,314,147,25949.09,191,G17,T4,AP1978,"Fuentes, Dennis and Lindsey Airport",Veronicatown,China,National,31.123995,-92.123746,4288,5,UTC+1,AP1671,Humphrey-Green Airport,South Danielstad,Colombia,Regional,38.384909,113.721192,881,5,UTC+1
237,IB2512,British Airways,Boeing 737,679,AP0679,New Brittany,Netherlands,1659,AP1659,Carlberg,Mexico,12694.88,14.33,1333.8,39591.85,0.76,2024-05-29 20:20:13,2024-05-30 10:40:01,20,10,29,5,2024,On Time,Sunny,307,229,19886.22,125,G55,T1,AP0679,Holmes Ltd Airport,New Brittany,Netherlands,National,63.942488,-51.430191,1921,1,UTC+0,AP1659,"Kane, Padilla and Lewis Airport",Carlberg,Mexico,International,-43.402857,-2.071782,2960,2,UTC+1
238,AA8999,Lufthansa,Boeing 737,2531,AP2531,Port Justin,France,248,AP0248,West Nicholas,United States,1784.47,2.16,359.66,5031.89,0.79,2025-11-08 07:25:24,2025-11-08 09:35:00,7,9,8,11,2025,Delayed,Rainy,276,335,17050.31,8,G48,T2,AP2531,Diaz Inc Airport,Port Justin,France,Regional,10.064272,95.805054,1112,4,UTC+1,AP0248,Pearson-Matthews Airport,West Nicholas,United States,International,-2.521807,105.803679,3744,1,UTC-5
239,SK3035,JetSMART,Airbus A320,1173,AP1173,Heatherfort,Colombia,2549,AP2549,Youngberg,Chile,12162.32,16.75,1034.46,60892.32,0.98,2026-04-28 12:49:30,2026-04-29 05:34:30,12,5,28,4,2026,On Time,Storm,77,88,29909.63,227,G35,T2,AP1173,Jefferson-Williams Airport,Heatherfort,Colombia,National,57.849085,-85.2421,2160,5,UTC+0,AP2549,Brown-Odonnell Airport,Youngberg,Chile,International,-1.284611,40.772865,3182,2,UTC+9
240,UA9051,LATAM Airlines,Boeing 737,2636,AP2636,Brownport,Qatar,351,AP0351,Ritterland,Spain,15153.8,17.36,1403.11,55956.35,0.87,2025-07-13 21:46:32,2025-07-14 15:08:08,21,15,13,7,2025,Delayed,Storm,79,150,24380.48,20,G52,T2,AP2636,Miller-Green Airport,Brownport,Qatar,National,18.390195,138.05289,1000,4,UTC+8,AP0351,Wood-Harding Airport,Ritterland,Spain,International,19.243018,-19.281216,398,2,UTC+8
241,LA639,Emirates,Airbus A350,2451,AP2451,Georgefurt,Germany,2106,AP2106,East Tiffany,Qatar,4943.39,6.07,648.6,25514.23,0.76,2026-04-15 17:30:24,2026-04-15 23:34:36,17,23,15,4,2026,On Time,Cloudy,281,274,6322.65,234,G36,T4,AP2451,Lambert-Frank Airport,Georgefurt,Germany,National,53.149647,104.588749,1145,6,UTC+9,AP2106,Davis-Yates Airport,East Tiffany,Qatar,Regional,17.145889,138.089822,1078,3,UTC+1
242,AA9327,KLM,Airbus A330,1312,AP1312,North Davidtown,France,1106,AP1106,South Brent,Australia,12516.45,14.78,2265.42,39697.55,0.78,2024-10-04 09:19:30,2024-10-05 00:06:18,9,0,4,10,2024,Delayed,Cloudy,72,316,7446.48,144,G5,T4,AP1312,"Young, Thompson and Williams Airport",North Davidtown,France,National,26.365178,63.279396,212,4,UTC+3,AP1106,Sutton-Martin Airport,South Brent,Australia,National,-15.6801,-44.518837,3765,1,UTC-5
243,DL9111,Qatar Airways,Boeing 737,1786,AP1786,Andresmouth,Canada,1831,AP1831,New Davidport,Qatar,17710.57,19.83,1798.97,93669.15,0.81,2025-06-06 10:29:44,2025-06-07 06:19:32,10,6,6,6,2025,Cancelled,Foggy,182,155,4689.4,179,G21,T4,AP1786,"Hernandez, Johnson and Hamilton Airport",Andresmouth,Canada,International,-52.319592,-160.071643,1607,5,UTC+3,AP1831,"Medina, Rivera and Sims Airport",New Davidport,Qatar,International,59.329439,55.198774,1887,4,UTC+9
244,LA6450,Iberia,ATR 72,859,AP0859,New Amyside,UAE,2279,AP2279,Perezborough,UAE,9417.24,12.62,1814.57,38824.97,0.77,2026-02-20 04:23:01,2026-02-20 17:00:13,4,17,20,2,2026,Cancelled,Sunny,222,328,24696.02,15,G17,T4,AP0859,Johnson-Jackson Airport,New Amyside,UAE,International,19.545087,-96.871544,213,3,UTC-5,AP2279,Brown-Huerta Airport,Perezborough,UAE,Regional,64.912013,24.912406,2613,4,UTC+0
245,AA7532,JetSMART,Embraer E190,1326,AP1326,South Shelby,Netherlands,899,AP0899,Port Eddieshire,Colombia,9168.48,10.38,1147.79,34467.47,0.84,2025-08-14 12:00:43,2025-08-14 22:23:31,12,22,14,8,2025,Delayed,Cloudy,320,175,19079.43,160,G76,T3,AP1326,Eaton and Sons Airport,South Shelby,Netherlands,National,-49.511897,-169.313194,1620,3,UTC-4,AP0899,Johnson-Wade Airport,Port Eddieshire,Colombia,Regional,-47.997214,7.586361,2584,5,UTC+3
246,UA5037,LATAM Airlines,Boeing 777,2887,AP2887,North Sandrastad,Netherlands,811,AP0811,East Alexandra,Argentina,8530.27,12.1,1611.89,32909.19,0.75,2024-11-24 18:53:18,2024-11-25 06:59:18,18,6,24,11,2024,Cancelled,Storm,256,251,25548.14,5,G22,T1,AP2887,James-Preston Airport,North Sandrastad,Netherlands,International,-21.760222,-35.953004,4110,2,UTC+3,AP0811,Cortez and Sons Airport,East Alexandra,Argentina,Regional,27.109564,25.209961,1465,5,UTC+8
247,AA9848,American Airlines,Boeing 787,22,AP0022,Markshire,Qatar,2064,AP2064,West Joshua,Netherlands,5621.75,6.7,569.42,14226.9,0.92,2026-01-24 05:58:45,2026-01-24 12:40:45,5,12,24,1,2026,On Time,Sunny,260,193,26581.38,60,G80,T1,AP0022,Hicks Ltd Airport,Markshire,Qatar,Regional,-30.136112,-45.391013,1323,5,UTC+9,AP2064,"Hernandez, Burke and Ford Airport",West Joshua,Netherlands,International,15.229548,-22.225969,2685,5,UTC+3
248,AA2940,JetSMART,ATR 72,2653,AP2653,Karenberg,Peru,2751,AP2751,Arnoldstad,Mexico,11851.99,15.37,1047.36,38840.68,0.89,2024-09-24 16:25:06,2024-09-25 07:47:18,16,7,24,9,2024,On Time,Cloudy,175,128,1190.26,42,G32,T3,AP2653,Nichols Group Airport,Karenberg,Peru,National,-25.293918,156.81324,3511,4,UTC+9,AP2751,Ward Group Airport,Arnoldstad,Mexico,International,-44.248729,-48.879474,3231,3,UTC-5
249,DL5736,American Airlines,Boeing 737,1754,AP1754,Sarahland,Turkey,346,AP0346,Warrenshire,China,10185.45,14.21,1972.04,26708.4,0.94,2024-10-29 19:32:20,2024-10-30 09:44:56,19,9,29,10,2024,Cancelled,Cloudy,242,185,10528.26,183,G5,T2,AP1754,"Nguyen, Velasquez and Brown Airport",Sarahland,Turkey,International,4.5198,-75.586972,819,5,UTC+1,AP0346,"Pruitt, Frazier and Lewis Airport",Warrenshire,China,International,-32.690796,13.413055,4332,2,UTC+8
250,DL3510,Singapore Airlines,Airbus A350,1255,AP1255,Josephton,Colombia,1173,AP1173,Heatherfort,Colombia,14857.44,18.5,2680.13,63035.45,0.95,2026-02-06 10:49:42,2026-02-07 05:19:42,10,5,6,2,2026,On Time,Cloudy,153,190,25644.25,100,G21,T4,AP1255,"Brown, Odom and Morris Airport",Josephton,Colombia,International,-39.891696,25.835312,329,5,UTC-4,AP1173,Jefferson-Williams Airport,Heatherfort,Colombia,National,57.849085,-85.2421,2160,5,UTC+0
251,IB8920,Iberia,Boeing 737,2369,AP2369,East Ambershire,Italy,2363,AP2363,Morganhaven,Netherlands,14886.71,20.31,1860.5,37540.22,0.88,2025-01-11 10:02:47,2025-01-12 06:21:23,10,6,11,1,2025,On Time,Rainy,208,86,5689.08,148,G8,T4,AP2369,"Higgins, Summers and Brooks Airport",East Ambershire,Italy,International,21.714657,-145.816646,1051,5,UTC+9,AP2363,Mullins-Brown Airport,Morganhaven,Netherlands,National,24.40245,33.601028,4025,1,UTC+1
252,SK9949,Singapore Airlines,Boeing 787,1216,AP1216,Colemanton,Italy,2190,AP2190,South Paulaton,Chile,14368.2,15.98,1739.22,50288.98,0.89,2026-04-10 10:19:35,2026-04-11 02:18:23,10,2,10,4,2026,On Time,Sunny,143,164,29042.44,102,G26,T1,AP1216,"Dixon, Jackson and Mendez Airport",Colemanton,Italy,International,55.396674,80.278201,3197,4,UTC+9,AP2190,Williams Inc Airport,South Paulaton,Chile,National,-31.457477,-34.45751,2935,1,UTC+1
